fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
17,000000	1205,491573	186,837983	181,219662	196,085332	222,157910	233,342960	249,805331	281,490372	259,159298	240,828107	310,208481	343,242439	321,449990	326,388449	345,930495	5,008012	265,822619	357,799989	373,274162	376,528901	383,172073	402,957821	450,040590	385,759242	414,221573	431,169619	490,744929	423,916637	409,516802	457,498056	433,553815
18,000000	1205,491596	183,097702	175,156246	186,781844	210,622243	218,204388	232,633999	263,442201	239,297972	224,111463	295,548705	318,036632	285,457079	295,149914	317,846892	4,598428	263,004239	315,399122	337,481925	326,140024	330,807322	329,819495	403,239528	314,928072	347,579607	364,333543	445,414923	351,800517	329,896396	374,646442	346,154987
19,000000	1205,491485	177,011402	166,321802	174,566601	195,479127	199,862270	212,774429	240,492969	215,135991	200,589069	273,251549	286,175563	253,516658	256,357752	283,593841	4,092746	257,375556	270,107739	296,455227	276,784020	284,728232	273,927313	351,989354	261,601031	288,616489	304,981553	395,431323	288,101282	270,197905	308,277565	287,238440
20,000000	1205,491544	170,588826	157,313464	163,922783	182,199944	185,114377	196,731507	220,246637	194,304838	177,331723	249,314468	256,119861	228,279067	222,809205	250,827875	3,603076	249,955239	233,090613	258,008840	240,873236	247,145798	238,634527	306,420824	227,919556	247,832551	262,346730	348,099415	243,377576	228,576862	264,844999	251,123312
21,000000	1205,491578	165,440389	150,621771	157,486474	173,689179	176,855242	188,367642	207,139567	181,482020	159,192256	229,270839	234,289720	211,445000	202,451526	225,693321	3,208715	242,025956	210,228579	230,027930	229,228605	223,986435	219,324338	275,632132	226,143674	237,899392	252,274721	312,442115	229,259516	227,267887	258,082988	256,785483
22,000000	1205,491599	163,880298	150,578221	159,641147	174,914370	180,736262	194,789251	208,167105	183,737200	152,173612	220,261366	227,529193	212,866990	203,832748	216,636692	3,048389	236,072410	212,562830	226,846857	247,731418	227,499423	223,389968	270,347931	265,097799	263,537642	278,154237	299,956056	254,324477	251,244311	298,139539	307,752695
23,000000	1205,491612	165,569390	154,763990	165,748133	181,871052	190,024442	204,979162	218,424427	194,881355	155,056036	220,500527	229,651135	226,164879	213,869394	221,680376	3,108504	232,810734	230,604913	239,890258	265,758697	246,786077	243,079410	278,703397	296,916445	296,497309	309,565230	303,676640	290,404509	282,637409	338,551719	349,131118
24,000000	1205,491568	168,152249	158,742526	170,614610	188,311989	197,381648	212,368377	227,938003	205,512500	162,097948	225,023992	236,019620	239,932811	226,478244	232,492269	3,267799	231,451235	249,964391	255,960145	277,944920	267,443319	264,921336	292,689580	317,230526	320,553104	332,357626	314,842336	318,186598	308,324830	364,518378	374,279634
25,000000	1205,491593	170,399122	161,469450	173,769655	192,732355	202,057481	216,970767	234,728054	212,840061	169,755205	231,158609	243,890665	250,044897	238,028802	243,235043	3,430977	231,173713	264,671460	268,625049	286,494503	282,951557	282,286921	307,463469	329,265866	335,140980	346,569103	328,055423	335,387275	325,538642	379,719214	388,487560
26,000000	1205,491608	172,071403	163,252599	175,792778	195,548918	204,971638	219,840298	239,227077	217,497398	176,421634	237,260861	251,752383	256,677966	247,143377	252,048723	3,568202	231,489113	274,443552	277,090399	292,659349	293,142667	294,258890	320,509633	336,637546	343,977450	355,217289	340,563021	345,790366	336,560759	388,883109	396,989013
27,000000	1205,491617	173,177854	164,211564	176,779653	197,048971	206,231811	220,877561	241,757657	219,829282	181,416708	242,335490	258,609681	260,201582	253,210694	258,343138	3,664781	232,060256	279,626591	281,173921	296,829501	297,991030	300,220249	329,958135	335,317384	345,248866	357,149910	349,474466	348,921363	340,438826	389,332235	392,122520
28,000000	1205,491623	173,288259	163,498882	175,666208	196,017671	204,301836	218,320808	241,388094	218,013485	183,301267	244,325019	262,538819	259,414861	254,347847	261,073747	3,711328	232,106395	278,115718	278,779161	296,822923	295,621782	297,869845	332,652738	325,517563	336,460701	349,814126	351,025581	343,034617	333,116946	380,806001	379,979127
29,000000	1205,491626	172,768695	162,244577	174,184573	194,176574	202,080900	215,825636	239,449115	215,055994	182,982560	244,037178	263,930242	256,537147	252,571841	261,460095	3,719533	231,574988	273,752010	273,848171	294,700367	290,445930	292,705443	331,546901	318,872000	329,383321	341,767608	348,917859	335,238767	325,062492	371,980359	372,320862
